type,category,unit_class,hp,attack,sec_attack,charge,def_skill,armour,shield,missile_range,missile_ammo,recruit_cost,upkeep_cost,attributes,formations,weapon_type,weapon_attr,hp_extra,sec_charge,sec_weapon_type,sec_weapon_attr,sec_armour,sec_def_skill,heat,scrub_mdf,sand_mdf,forest_mdf,snow_mdf,morale,discipline,training,charge_distance,recruit_turns,weapon_upgrade_cost,armour_upgrade_cost,custom_battle_cost,aor,ownership,region,dictionary,name,short_desc,long_desc,building,recruitment_building,hidden_resources,hidden_resources_not,event,faction,different_rows
issaian hoplites,infantry,spearmen,1,11,10,6,20,2,9,50,2,1470,538,"sea_faring, hide_forest, can_sap, very_hardy",,thrown,prec,6,8,melee,"light_spear, spear_bonus_6",0,0,1,0,-1,-3,-2,13,disciplined,highly_trained,30,2,1,72,559,False,"greeks, issa, slave",Salonitis,issaian_hoplites,Issaian Hoplites,This unit needs a short description.,This unit needs a long description.,barracks_1,1,,,,issa,1.0
aor issaian hoplites,infantry,spearmen,1,11,10,6,20,2,9,50,2,1470,538,"sea_faring, hide_forest, can_sap, no_custom, mercenary_unit, very_hardy",,thrown,prec,6,8,melee,"light_spear, spear_bonus_6",0,0,1,0,-1,-3,-2,13,disciplined,highly_trained,30,2,1,72,559,True,"acarnania, achaea, acragas, aedui, aetolia, allobroges, anatolians, antigonid, ardiaei, arevaci, argos, armenia, arverni, asti, athens, atropatene, bactria, belgae, bessi, bithynia, boeotia, boii, bosporan, byzantium, cappadocia, carthage, chatti, chersonesus, chios, chrysaoria, cilicians, cimbri, cius, cyrene, cyzicus, dentheletae, edetani, egypt, elis, emporion, epirus, galatians, getae, gortyn, greeks, hellenistic_rebels, heraclea_pontica, histria, indo_greeks, insubres, issa, kabyle, knossos, kush, kydonia, lugii, lusitani, lycia, lysiad, lyttos, maedi, masaesyli, massalia, massylii, mauryan, megalopolis, messene, miletus, nabataea, odrysians, olbia, paionia, paphlagonia, parni, pentapolis, pergamon, pontus, priene, ptolemaic, ptolemaic_rebels, rhodes, romans_julii, saba, saka, scordisci, seleucid, seleucid_rebels, seleucid_rebels2, selge, sinope, siraces, slave, sparta, suebi, syracuse, taras, thessaly, thracians, trapezus, triballi, trinovantes, tylis, volcae",Salonitis,issaian_hoplites,Issaian Hoplites,This unit needs a short description.,This unit needs a long description.,barracks_1,1,,,,"acarnania, achaea, acragas, aedui, aetolia, allobroges, anatolians, antigonid, ardiaei, arevaci, argos, armenia, arverni, asti, athens, atropatene, bactria, belgae, bessi, bithynia, boeotia, boii, bosporan, byzantium, cappadocia, carthage, chatti, chersonesus, chios, chrysaoria, cilicians, cimbri, cius, cyrene, cyzicus, dentheletae, edetani, egypt, elis, emporion, epirus, galatians, getae, gortyn, greeks, histria, insubres, kabyle, knossos, kush, kydonia, lugii, lusitani, lycia, lysiad, lyttos, maedi, masaesyli, massalia, massylii, mauryan, megalopolis, messene, miletus, nabataea, odrysians, olbia, paionia, paphlagonia, parni, pentapolis, pergamon, pontus, priene, ptolemaic, rhodes, roman, saba, saka, scordisci, seleucid, selge, sinope, siraces, sparta, suebi, syracuse, taras, thessaly, thracians, trapezus, triballi, trinovantes, tylis, volcae",1.0
kian archers,infantry,missile,1,9,6,3,10,2,4,160,25,1392,509,"sea_faring, can_swim, hide_forest, very_hardy",,missile,no,6,3,melee,no,0,0,0,2,0,0,-1,9,low,trained,30,2,0,48,529,False,"cius, greeks, slave",Emathia,kian_archers,Kian Archers,This unit needs a short description,This unit needs a long description,missiles_3,3,,,,cius,1.0
aor kian archers,infantry,missile,1,9,6,3,10,2,4,160,25,1392,509,"sea_faring, can_swim, hide_forest, no_custom, mercenary_unit, very_hardy",,missile,no,6,3,melee,no,0,0,0,2,0,0,-1,9,low,trained,30,2,0,48,529,True,"acarnania, achaea, acragas, aedui, aetolia, allobroges, anatolians, antigonid, ardiaei, arevaci, argos, armenia, arverni, asti, athens, atropatene, bactria, belgae, bessi, bithynia, boeotia, boii, bosporan, byzantium, cappadocia, carthage, chatti, chersonesus, chios, chrysaoria, cilicians, cimbri, cius, cyrene, cyzicus, dentheletae, edetani, egypt, elis, emporion, epirus, galatians, getae, gortyn, greeks, hellenistic_rebels, heraclea_pontica, histria, indo_greeks, insubres, issa, kabyle, knossos, kush, kydonia, lugii, lusitani, lycia, lysiad, lyttos, maedi, masaesyli, massalia, massylii, mauryan, megalopolis, messene, miletus, nabataea, odrysians, olbia, paionia, paphlagonia, parni, pentapolis, pergamon, pontus, priene, ptolemaic, ptolemaic_rebels, rhodes, romans_julii, saba, saka, scordisci, seleucid, seleucid_rebels, seleucid_rebels2, selge, sinope, siraces, slave, sparta, suebi, syracuse, taras, thessaly, thracians, trapezus, triballi, trinovantes, tylis, volcae",Emathia,kian_archers,Kian Archers,This unit needs a short description,This unit needs a long description,missiles_3,3,,,,"acarnania, achaea, acragas, aedui, aetolia, allobroges, anatolians, antigonid, ardiaei, arevaci, argos, armenia, arverni, asti, athens, atropatene, bactria, belgae, bessi, bithynia, boeotia, boii, bosporan, byzantium, cappadocia, carthage, chatti, chersonesus, chios, chrysaoria, cilicians, cimbri, cyrene, cyzicus, dentheletae, edetani, egypt, elis, emporion, epirus, galatians, getae, gortyn, greeks, histria, insubres, issa, kabyle, knossos, kush, kydonia, lugii, lusitani, lycia, lysiad, lyttos, maedi, masaesyli, massalia, massylii, mauryan, megalopolis, messene, miletus, nabataea, odrysians, olbia, paionia, paphlagonia, parni, pentapolis, pergamon, pontus, priene, ptolemaic, rhodes, roman, saba, saka, scordisci, seleucid, selge, sinope, siraces, sparta, suebi, syracuse, taras, thessaly, thracians, trapezus, triballi, trinovantes, tylis, volcae",1.0
knossian erastai,infantry,missile,1,8,8,2,12,5,0,160,25,1366,500,"sea_faring, hide_forest, very_hardy",,missile,no,6,4,melee,"light_spear, spear_bonus_6",0,0,0,1,-2,0,-1,7,low,untrained,30,2,0,44,519,False,"greeks, knossos, slave",Minoa,knossian_erastai,Knossian Agelai,This unit needs a short description.,This unit needs a long description.,missiles_1,1,,,,knossos,1.0
knossian archers,infantry,missile,1,10,9,5,13,5,4,160,25,1414,518,"sea_faring, hide_forest, very_hardy",,missile,no,6,7,melee,no,0,0,0,1,-2,0,-1,10,normal,trained,30,2,0,44,537,False,"greeks, knossos, slave",Minoa,knossian_archers,Knossian Archers,This unit needs a short description.,This unit needs a long description.,missiles_2,2,,,,knossos,1.0
aor knossian archers,infantry,missile,1,10,9,5,13,5,4,160,25,1414,518,"sea_faring, hide_forest, no_custom, mercenary_unit, very_hardy",,missile,no,6,7,melee,no,0,0,0,1,-2,0,-1,10,normal,trained,30,2,0,44,537,True,"acarnania, achaea, acragas, aedui, aetolia, allobroges, anatolians, antigonid, ardiaei, arevaci, argos, armenia, arverni, asti, athens, atropatene, bactria, belgae, bessi, bithynia, boeotia, boii, bosporan, byzantium, cappadocia, carthage, chatti, chersonesus, chios, chrysaoria, cilicians, cimbri, cius, cyrene, cyzicus, dentheletae, edetani, egypt, elis, emporion, epirus, galatians, getae, gortyn, greeks, hellenistic_rebels, heraclea_pontica, histria, indo_greeks, insubres, issa, kabyle, knossos, kush, kydonia, lugii, lusitani, lycia, lysiad, lyttos, maedi, masaesyli, massalia, massylii, mauryan, megalopolis, messene, miletus, nabataea, odrysians, olbia, paionia, paphlagonia, parni, pentapolis, pergamon, pontus, priene, ptolemaic, ptolemaic_rebels, rhodes, romans_julii, saba, saka, scordisci, seleucid, seleucid_rebels, seleucid_rebels2, selge, sinope, siraces, slave, sparta, suebi, syracuse, taras, thessaly, thracians, trapezus, triballi, trinovantes, tylis, volcae",Minoa,knossian_archers,Knossian Archers,This unit needs a short description.,This unit needs a long description.,,,,,,,
knossian hoplites,infantry,spearmen,1,10,0,9,20,7,8,0,0,1578,578,"sea_faring, hide_forest, can_sap, very_hardy",,melee,"light_spear, spear_bonus_6",5,0,melee,no,0,0,1,0,-2,-2,-1,14,disciplined,highly_trained,30,2,1,64,600,False,"greeks, knossos, slave",Minoa,knossian_hoplites,Knossian Hoplites,This unit needs a short description.,This unit needs a long description.,barracks_1,1,,,,knossos,1.0
aor knossian hoplites,infantry,spearmen,1,10,0,9,20,7,8,0,0,1578,578,"sea_faring, hide_forest, can_sap, no_custom, mercenary_unit, very_hardy",,melee,"light_spear, spear_bonus_6",5,0,melee,no,0,0,1,0,-2,-2,-1,14,disciplined,highly_trained,30,2,1,64,600,True,"acarnania, achaea, acragas, aedui, aetolia, allobroges, anatolians, antigonid, ardiaei, arevaci, argos, armenia, arverni, asti, athens, atropatene, bactria, belgae, bessi, bithynia, boeotia, boii, bosporan, byzantium, cappadocia, carthage, chatti, chersonesus, chios, chrysaoria, cilicians, cimbri, cius, cyrene, cyzicus, dentheletae, edetani, egypt, elis, emporion, epirus, galatians, getae, gortyn, greeks, hellenistic_rebels, heraclea_pontica, histria, indo_greeks, insubres, issa, kabyle, knossos, kush, kydonia, lugii, lusitani, lycia, lysiad, lyttos, maedi, masaesyli, massalia, massylii, mauryan, megalopolis, messene, miletus, nabataea, odrysians, olbia, paionia, paphlagonia, parni, pentapolis, pergamon, pontus, priene, ptolemaic, ptolemaic_rebels, rhodes, romans_julii, saba, saka, scordisci, seleucid, seleucid_rebels, seleucid_rebels2, selge, sinope, siraces, slave, sparta, suebi, syracuse, taras, thessaly, thracians, trapezus, triballi, trinovantes, tylis, volcae",Minoa,knossian_hoplites,Knossian Hoplites,This unit needs a short description.,This unit needs a long description.,barracks_1,1,,,,"acarnania, achaea, acragas, aedui, aetolia, allobroges, anatolians, antigonid, ardiaei, arevaci, argos, armenia, arverni, asti, athens, atropatene, bactria, belgae, bessi, bithynia, boeotia, boii, bosporan, byzantium, cappadocia, carthage, chatti, chersonesus, chios, chrysaoria, cilicians, cimbri, cius, cyrene, cyzicus, dentheletae, edetani, egypt, elis, emporion, epirus, galatians, getae, gortyn, greeks, histria, insubres, issa, kabyle, kush, kydonia, lugii, lusitani, lycia, lysiad, lyttos, maedi, masaesyli, massalia, massylii, mauryan, megalopolis, messene, miletus, nabataea, odrysians, olbia, paionia, paphlagonia, parni, pentapolis, pergamon, pontus, priene, ptolemaic, rhodes, roman, saba, saka, scordisci, seleucid, selge, sinope, siraces, sparta, suebi, syracuse, taras, thessaly, thracians, trapezus, triballi, trinovantes, tylis, volcae",1.0
knossian aspidophoroi,cavalry,missile,1,10,11,28,9,7,7,60,7,1665,670,"sea_faring, hide_forest, cantabrian_circle, very_hardy",,thrown,thrown,9,37,melee,no,0,0,0,0,-3,-5,-2,15,disciplined,highly_trained,40,2,0,32,633,False,"greeks, knossos, slave",Minoa,knossian_aspidophoroi,Knossian Aspidophoroi,The Aspidophoroi are well armoured cavalry that charge the enemy with their long spears and carry either javelins or kopis swords as secondary weapons.,"Greek cavalry did not carry shields before the 3rd century BC. The experiences of fighting the Thureos armed Galatians and the shielded horsemen of Italy, however, led to a fundamental change in Greek cavalry warfare and by the end of the century, both Thureos and Aspis bearing cavalry was becoming more and more common. Two different versions of the Aspidophoroi (Aspis bearers) existed. The Achaian, Aitolian and Boiotian Leagues as well as Athens and Syracuse deployed horsemen armed with a round shield slightly smaller than that of Italic cavalry, but with a big umbo in the centre. They were protected by Boiotian helmets and Linothorakes and equipped with long cavalry spears and kopis swords. This effective melee cavalry unit replaced most of the Xystophoroi lancers who had dominated the battlefields of Greece and Asia Minor for a hundred years. A second type of Aspidophoroi appears mostly in Asia Minor and was in use, most likely, by Pontos (though quite late), Rhodes and Epeiros. Armed with a large round shield with a centre-thicker spina, they carried javelins along with the spears and could pepper their foes from afar before charging. The Antigonids of Macedon and the Attalids of Pergamon, meanwhile, seem to have used both kinds of shields and equipment for their cavalry, making them extremely versatile.

HISTORICAL BACKGROUND

Both types of Aspidophoroi are attested on the Aemilius Paullus Monument that portrays the Roman victory of the Macedonians at Pydna in 168 BC and was erected in the Sanctuary of Apollo in Delphi the next year. The battle scenes depicted pit Roman against Macedonian troops and are an important source for the reconstruction of the armament of both sides during the Third Roman-Macedonian War (171-168 BC) (cf. Taylor, Battle Scene, 2016). The origins of round shield cavalry in Macedon remain to be debated, but Italic influences dating back to Pyrrhos' campaign in Italy are certainly possible. Before 300 BC, the only Hellenic horsemen with shields were Hoplites who rode into battle and dismounted before the fight (Nefedkin, Cavalry Shields, 2009).

While the Antigonids and Attalids clearly used different Aspis shields, other Greek states seem to have favoured one of two variants. The round shield with the large umbo in the centre appears on a rock relief from Argos, suggesting it was used by the Achaian League, on the lost bronze plate from Pergamon depicting the Battle of Magnesia in 189 BC, probably as Attalid horsemen, on a series of 2nd century heroic horsemen reliefs from Boiotia and on several Greek gems of unknown origin, of which the most impressive one is in the Kestner-Museum in Hannover (Inv. Nr. K 1714). The rider in the gem has a large shield and seems to wield a Kopis, which must have been the secondary weapon besides the spear for these horsemen. The Achaian historian Polybios of Megalopolis (ca. 200-118 BC) adds that the Achaian cavalry of his time was equipped with Linothorakes (Polyb. VI, 25, 3) and that their shields were covered with bronze or painted brazen (II, 91, 7).

Even more fascinating is the evidence from Boiotia: a series of horsemen reliefs from early 2nd century BC prove the introduction of the round cavalry shield (Fossey, Cult of the Horseman Hero in Boiotia, 2014). Especially impressive is relief No. 1 (IG VII 2807) from ancient Kopai, modern day Topalia, which depicts a horseman on a rising horse, with his cloak flowing in the wind. Protected by Boiotian helmets, shields and light armour, these men were better protected than the Xystophoroi of the 3rd century and could fulfil more flexible roles on the battlefield.

The so-called ‘Cavalry Convention’ between Orchomenos and Chaironeia (dated to 286/285 BC by: Knoepfler, The Expansion of the Boeotian Koinon, 2014) sheds some light on the role of the Boiotian cavalry in the early Hellenistic period and only a few years before the start of the RIS campaign. The treaty mentions the deployment of cavalry regiments both to defend Thebes, which had been fully re-integrated into the League a few years earlier, and to help the polis Eretria on Euboia shake off Macedonian rule. The Boiotians succeeded with the latter enterprise and welcomed Eretria into the League, thereby expanding past their traditional borders. Though Eretria was lost again around 280 BC, the Hellenistic Boiotian League had clear ambitions to expand beyond Boiotia itself, as is also testified by a number of other cases, and a strong cavalry force was vital to realise such designs. Since the 5th century BC, Boiotia had been divided into eleven districts, each of whose had to provide 1,000 Hoplites, 100 horsemen, and unspecified numbers of rowers and light infantrymen (likely more than 1,000 of each) for the confederate army (FGrH 66 = Hell. Oxy.). Since the number of member cities changed at times - e.g. when Thebes was ‘destroyed’ or when Eretria joined the League - the size of the Boiotian army also varied over time. Yet, until its very end the numbers seem to have been rather stable. For instance, in 280 BC the Boiotians sent 10,000 Hoplites and 500 horsemen to the Greek army at Thermopylai to support their compatriots against the invading Celts (X, 20, 3). The reduced contingent of cavalry may be due to the fact that a sizable number had to stay behind to patrol the borders and secure peace and order, with internal rivalries between the pro- and anti-Theban factions in Boiotia still not put to bed. In fact, thanks to the fertility of the land, there seems to have been a steady growth of population. Diodoros of Agyrion (1st century BC) describes the situation three hundred years before he wrote as such: “They are inferior to no other Greek ethnos in the number of their men and in their valour in war” (Diod. XV, 26, 1).

Finally, cavalry bearing the Aspis with an umbo can also be found in the West. A limestone votive relief with representation of a heroised knight with crested konos helmet dated to the 3rd century BC from Akradina (near Syracuse) and a votive marble relief with heroised knight, squire and young man from the early 3rd century BC (Archaeological Museum of Syracuse) prove that the Syracusans adopted this style of fighting, either from Italic influences or Pyrrhos and his Epirotes, who, however, seems to have used Aspidophoroi as javelin cavalry (see below).

Other Greek states, meanwhile, used Aspis shields with a centre-thicker spina. This type of shield can also be found on the Aemilius Paullus monument and on a variety of Macedonian stelae, as it was one of the types used by the Antigonids. Outside of Macedon, it appears on a relief from Daskyleion in Mysia and was probably the second Attalid horsemen shown on the lost bronze plate of Pergamon (Nefedkin (2009), p. 5). As Nefedkin argues, Aspidophoroi became the standard cavalry in the Aegean and Asia Minor in the 2nd century BC and we can thus expect adjacent states to have adopted it as well - hence it is available in the Rhodian, Epirote (a relief from Dassaretis on the Macedonian-Epirote border shows this type of shield; Hatzopoulos, Organisation (2001), pp. 35-54) and Pontic roster. The lack of any evidence for swords for this second variant may suggest that they used javelins before charging, just like the Thureophoroi cavalry that was widespread in the Antigonid and Seleucid Empires (Nefedkin (2009), p. 9). However, there is no reason to believe they did not use the Linothorakes mentioned by Polybios (VI, 25, 3) and the Boiotian helmets attested on various reliefs.",equestrian_3,3,,,,knossos,1.0
knossian hippeis,cavalry,heavy,1,9,11,24,10,8,7,60,7,1392,560,"sea_faring, hide_forest, very_hardy",,thrown,"prec, thrown",6,33,melee,no,0,0,0,0,-3,-5,-2,13,disciplined,highly_trained,40,2,0,32,529,False,"greeks, knossos, slave",Minoa,knossian_hippeis,Knossian Hippeis,This unit needs a short description.,This unit needs a long description.,equestrian_3,3,,,,knossos,1.0
aor knossian hippeis,cavalry,heavy,1,9,11,24,10,8,7,60,7,1392,560,"sea_faring, hide_forest, no_custom, mercenary_unit, very_hardy",,thrown,"prec, thrown",6,33,melee,no,0,0,0,0,-3,-5,-2,13,disciplined,highly_trained,40,2,0,32,529,True,"acarnania, achaea, acragas, aedui, aetolia, allobroges, anatolians, antigonid, ardiaei, arevaci, argos, armenia, arverni, asti, athens, atropatene, bactria, belgae, bessi, bithynia, boeotia, boii, bosporan, byzantium, cappadocia, carthage, chatti, chersonesus, chios, chrysaoria, cilicians, cimbri, cius, cyrene, cyzicus, dentheletae, edetani, egypt, elis, emporion, epirus, galatians, getae, gortyn, greeks, hellenistic_rebels, heraclea_pontica, histria, indo_greeks, insubres, issa, kabyle, knossos, kush, kydonia, lugii, lusitani, lycia, lysiad, lyttos, maedi, masaesyli, massalia, massylii, mauryan, megalopolis, messene, miletus, nabataea, odrysians, olbia, paionia, paphlagonia, parni, pentapolis, pergamon, pontus, priene, ptolemaic, ptolemaic_rebels, rhodes, romans_julii, saba, saka, scordisci, seleucid, seleucid_rebels, seleucid_rebels2, selge, sinope, siraces, slave, sparta, suebi, syracuse, taras, thessaly, thracians, trapezus, triballi, trinovantes, tylis, volcae",Minoa,knossian_hippeis,Knossian Hippeis,This unit needs a short description.,This unit needs a long description.,equestrian_3,3,,,,"acarnania, achaea, acragas, aedui, aetolia, allobroges, anatolians, antigonid, ardiaei, arevaci, argos, armenia, arverni, asti, athens, atropatene, bactria, belgae, bessi, bithynia, boeotia, boii, bosporan, byzantium, cappadocia, carthage, chatti, chersonesus, chios, chrysaoria, cilicians, cimbri, cius, cyrene, cyzicus, dentheletae, edetani, egypt, elis, emporion, epirus, galatians, getae, gortyn, greeks, histria, insubres, issa, kabyle, kush, kydonia, lugii, lusitani, lycia, lysiad, lyttos, maedi, masaesyli, massalia, massylii, mauryan, megalopolis, messene, miletus, nabataea, odrysians, olbia, paionia, paphlagonia, parni, pentapolis, pergamon, pontus, priene, ptolemaic, rhodes, roman, saba, saka, scordisci, seleucid, selge, sinope, siraces, sparta, suebi, syracuse, taras, thessaly, thracians, trapezus, triballi, trinovantes, tylis, volcae",1.0
knossian hippeis late,cavalry,heavy,1,14,12,42,17,9,0,0,0,1914,771,"sea_faring, hide_forest, very_hardy",wedge,melee,no,11,34,melee,no,0,0,1,-1,-3,-7,-2,16,disciplined,highly_trained,40,2,0,32,727,False,"greeks, knossos, slave",Minoa,knossian_hippeis_late,Knossian Hippeis (Late),This unit needs a short description.,This unit needs a long description.,equestrian_3,3,,,,knossos,1.0
kydonian archers,infantry,missile,1,10,9,5,13,5,4,160,25,1414,518,"sea_faring, hide_forest, very_hardy",,missile,no,6,7,melee,no,0,0,0,1,-2,0,-1,10,normal,trained,30,2,0,44,537,False,"greeks, kydonia, slave",Minoa,kydonian_archers,Kydonian Archers,This unit needs a short description.,This unit needs a long description.,missiles_2,2,,,,kydonia,1.0
aor kydonian archers,infantry,missile,1,10,9,5,13,5,4,160,25,1414,518,"sea_faring, hide_forest, no_custom, mercenary_unit, very_hardy",,missile,no,6,7,melee,no,0,0,0,1,-2,0,-1,10,normal,trained,30,2,0,44,537,True,"acarnania, achaea, acragas, aedui, aetolia, allobroges, anatolians, antigonid, ardiaei, arevaci, argos, armenia, arverni, asti, athens, atropatene, bactria, belgae, bessi, bithynia, boeotia, boii, bosporan, byzantium, cappadocia, carthage, chatti, chersonesus, chios, chrysaoria, cilicians, cimbri, cius, cyrene, cyzicus, dentheletae, edetani, egypt, elis, emporion, epirus, galatians, getae, gortyn, greeks, hellenistic_rebels, heraclea_pontica, histria, indo_greeks, insubres, issa, kabyle, knossos, kush, kydonia, lugii, lusitani, lycia, lysiad, lyttos, maedi, masaesyli, massalia, massylii, mauryan, megalopolis, messene, miletus, nabataea, odrysians, olbia, paionia, paphlagonia, parni, pentapolis, pergamon, pontus, priene, ptolemaic, ptolemaic_rebels, rhodes, romans_julii, saba, saka, scordisci, seleucid, seleucid_rebels, seleucid_rebels2, selge, sinope, siraces, slave, sparta, suebi, syracuse, taras, thessaly, thracians, trapezus, triballi, trinovantes, tylis, volcae",Minoa,kydonian_archers,Kydonian Archers,This unit needs a short description.,This unit needs a long description.,,,,,,,
kyzikan epibatai,infantry,light,1,15,9,4,17,5,4,50,2,1173,429,"sea_faring, hide_forest, very_hardy",,thrown,no,6,5,melee,no,0,0,0,2,0,0,-1,10,low,trained,30,2,1,55,446,False,"cyzicus, greeks, slave",Arktonnesos,kyzikan_epibatai,Kyzikan Epibatai,This unit needs a short description.,This unit needs a long description.,port,3,,,,cyzicus,1.0
aor kyzikan epibatai,infantry,light,1,15,9,4,17,5,4,50,2,1173,429,"sea_faring, hide_forest, no_custom, mercenary_unit, very_hardy",,thrown,no,6,5,melee,no,0,0,0,2,0,0,-1,10,low,trained,30,2,1,55,446,True,"acarnania, achaea, acragas, aedui, aetolia, allobroges, anatolians, antigonid, ardiaei, arevaci, argos, armenia, arverni, asti, athens, atropatene, bactria, belgae, bessi, bithynia, boeotia, boii, bosporan, byzantium, cappadocia, carthage, chatti, chersonesus, chios, chrysaoria, cilicians, cimbri, cius, cyrene, cyzicus, dentheletae, edetani, egypt, elis, emporion, epirus, galatians, getae, gortyn, greeks, hellenistic_rebels, heraclea_pontica, histria, indo_greeks, insubres, issa, kabyle, knossos, kush, kydonia, lugii, lusitani, lycia, lysiad, lyttos, maedi, masaesyli, massalia, massylii, mauryan, megalopolis, messene, miletus, nabataea, odrysians, olbia, paionia, paphlagonia, parni, pentapolis, pergamon, pontus, priene, ptolemaic, ptolemaic_rebels, rhodes, romans_julii, saba, saka, scordisci, seleucid, seleucid_rebels, seleucid_rebels2, selge, sinope, siraces, slave, sparta, suebi, syracuse, taras, thessaly, thracians, trapezus, triballi, trinovantes, tylis, volcae",Arktonnesos,kyzikan_epibatai,Kyzikan Epibatai,This unit needs a short description.,This unit needs a long description.,port,3,,,,"acarnania, achaea, acragas, aedui, aetolia, allobroges, anatolians, antigonid, ardiaei, arevaci, argos, armenia, arverni, asti, athens, atropatene, bactria, belgae, bessi, bithynia, boeotia, boii, bosporan, byzantium, cappadocia, carthage, chatti, chersonesus, chios, chrysaoria, cilicians, cimbri, cius, cyrene, dentheletae, edetani, egypt, elis, emporion, epirus, galatians, getae, gortyn, greeks, histria, insubres, issa, kabyle, knossos, kush, kydonia, lugii, lusitani, lycia, lysiad, lyttos, maedi, masaesyli, massalia, massylii, mauryan, megalopolis, messene, miletus, nabataea, odrysians, olbia, paionia, paphlagonia, parni, pentapolis, pergamon, pontus, priene, ptolemaic, rhodes, roman, saba, saka, scordisci, seleucid, selge, sinope, siraces, sparta, suebi, syracuse, taras, thessaly, thracians, trapezus, triballi, trinovantes, tylis, volcae",1.0
kyzikan hoplites,infantry,spearmen,1,10,0,8,20,7,9,0,0,1585,580,"sea_faring, hide_forest, can_sap, very_hardy",,melee,"light_spear, spear_bonus_6",5,0,melee,no,0,0,1,1,0,-2,-1,14,disciplined,highly_trained,30,2,1,64,602,False,"cyzicus, greeks, slave",Arktonnesos,kyzikan_hoplites,Kyzikan Hoplites,This unit needs a short description.,This unit needs a long description.,barracks_1,1,,,,cyzicus,1.0
aor kyzikan hoplites,infantry,spearmen,1,10,0,8,20,7,9,0,0,1585,580,"sea_faring, hide_forest, can_sap, no_custom, mercenary_unit, very_hardy",,melee,"light_spear, spear_bonus_6",5,0,melee,no,0,0,1,1,0,-2,-1,14,disciplined,highly_trained,30,2,1,64,602,True,"acarnania, achaea, acragas, aedui, aetolia, allobroges, anatolians, antigonid, ardiaei, arevaci, argos, armenia, arverni, asti, athens, atropatene, bactria, belgae, bessi, bithynia, boeotia, boii, bosporan, byzantium, cappadocia, carthage, chatti, chersonesus, chios, chrysaoria, cilicians, cimbri, cius, cyrene, cyzicus, dentheletae, edetani, egypt, elis, emporion, epirus, galatians, getae, gortyn, greeks, hellenistic_rebels, heraclea_pontica, histria, indo_greeks, insubres, issa, kabyle, knossos, kush, kydonia, lugii, lusitani, lycia, lysiad, lyttos, maedi, masaesyli, massalia, massylii, mauryan, megalopolis, messene, miletus, nabataea, odrysians, olbia, paionia, paphlagonia, parni, pentapolis, pergamon, pontus, priene, ptolemaic, ptolemaic_rebels, rhodes, romans_julii, saba, saka, scordisci, seleucid, seleucid_rebels, seleucid_rebels2, selge, sinope, siraces, slave, sparta, suebi, syracuse, taras, thessaly, thracians, trapezus, triballi, trinovantes, tylis, volcae",Arktonnesos,kyzikan_hoplites,Kyzikan Hoplites,This unit needs a short description.,This unit needs a long description.,barracks_1,1,,,,"acarnania, achaea, acragas, aedui, aetolia, allobroges, anatolians, antigonid, ardiaei, arevaci, argos, armenia, arverni, asti, athens, atropatene, bactria, belgae, bessi, bithynia, boeotia, boii, bosporan, byzantium, cappadocia, carthage, chatti, chersonesus, chios, chrysaoria, cilicians, cimbri, cius, cyrene, dentheletae, edetani, egypt, elis, emporion, epirus, galatians, getae, gortyn, greeks, histria, insubres, issa, kabyle, knossos, kush, kydonia, lugii, lusitani, lycia, lysiad, lyttos, maedi, masaesyli, massalia, massylii, mauryan, megalopolis, messene, miletus, nabataea, odrysians, olbia, paionia, paphlagonia, parni, pentapolis, pergamon, pontus, priene, ptolemaic, rhodes, roman, saba, saka, scordisci, seleucid, selge, sinope, siraces, sparta, suebi, syracuse, taras, thessaly, thracians, trapezus, triballi, trinovantes, tylis, volcae",1.0
